location_id,state,remoteness_area,sa4_name,lga_name,road_type
L619,QLD,Inner Regional Australia,Ipswich,Lockyer Valley,National or State Highway
L620,QLD,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs,Collector Road
L621,TAS,Remote Australia,West and North West,Circular Head,National or State Highway
L622,NSW,Major Cities of Australia,Sydney - South West,Liverpool,Local Road
L623,VIC,Outer Regional Australia,North West,Swan Hill,Arterial Road
L624,NSW,Outer Regional Australia,Riverina,Murrumbidgee,National or State Highway
L625,VIC,Outer Regional Australia,Hume,Towong,National or State Highway
L626,NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Arterial Road
L627,QLD,Inner Regional Australia,Ipswich,Scenic Rim,Local Road
L628,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Collector Road
L629,VIC,Major Cities of Australia,Geelong,Greater Geelong,Local Road
L630,NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Collector Road
L631,NSW,Outer Regional Australia,Capital Region,Upper Lachlan,Arterial Road
L632,NSW,Inner Regional Australia,Central West,Orange,Local Road
L633,QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,National or State Highway
L634,TAS,Inner Regional Australia,Launceston and North East,Launceston,Local Road
L635,VIC,Major Cities of Australia,Melbourne - South East,Kingston (Vic.),Arterial Road
L636,VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Arterial Road
L637,QLD,Major Cities of Australia,Gold Coast,Gold Coast,National or State Highway
L638,NSW,Outer Regional Australia,Central West,Cowra,National or State Highway
L639,SA,Major Cities of Australia,Adelaide - Central and Hills,Walkerville,Local Road
L640,NSW,Major Cities of Australia,Sydney - City and Inner South,Bayside (NSW),Arterial Road
L641,NSW,Inner Regional Australia,Illawarra,Sutherland,Arterial Road
L642,VIC,Major Cities of Australia,Melbourne - Inner East,Whitehorse,Local Road
L643,VIC,Inner Regional Australia,Hume,Strathbogie,Arterial Road
L644,SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide,Arterial Road
L645,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,Sub-arterial Road
L646,QLD,Inner Regional Australia,Wide Bay,Gympie,Sub-arterial Road
L647,NSW,Remote Australia,Murray,Wentworth,Arterial Road
L648,TAS,Outer Regional Australia,South East,Tasman,National or State Highway
L649,TAS,Outer Regional Australia,West and North West,Latrobe (Tas.),National or State Highway
L650,QLD,Outer Regional Australia,Central Queensland,Rockhampton,Local Road
L651,VIC,Major Cities of Australia,Melbourne - Inner East,Manningham,Local Road
L652,QLD,Major Cities of Australia,Ipswich,Ipswich,Collector Road
L653,QLD,Inner Regional Australia,Wide Bay,Gympie,National or State Highway
L654,SA,Outer Regional Australia,South Australia - Outback,Port Augusta,National or State Highway
L655,VIC,Outer Regional Australia,Hume,Benalla,Local Road
L656,NSW,Outer Regional Australia,New England and North West,Liverpool Plains,Arterial Road
L657,VIC,Inner Regional Australia,Mornington Peninsula,Mornington Peninsula,Arterial Road
L658,QLD,Remote Australia,Townsville,Hinchinbrook,Local Road
L659,SA,Major Cities of Australia,Adelaide - Central and Hills,Unley,Collector Road
L660,NSW,Inner Regional Australia,Riverina,Snowy Valleys,Local Road
L661,QLD,Outer Regional Australia,Central Queensland,Banana,Local Road
L662,SA,Major Cities of Australia,Adelaide - Central and Hills,Mount Barker,Sub-arterial Road
L663,NSW,Major Cities of Australia,Sydney - City and Inner South,Inner West,National or State Highway
L664,SA,Major Cities of Australia,Adelaide - North,Salisbury,Arterial Road
L665,NSW,Inner Regional Australia,Capital Region,Eurobodalla,National or State Highway
L666,NSW,Major Cities of Australia,Sydney - Sutherland,Sutherland,National or State Highway
L667,NT,Outer Regional Australia,Darwin,Palmerston,National or State Highway
L668,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Barunga West,Sub-arterial Road
L669,NSW,Inner Regional Australia,New England and North West,Tamworth,Local Road
L670,TAS,Remote Australia,West and North West,West Coast,Local Road
L671,QLD,Outer Regional Australia,Cairns,Tablelands,National or State Highway
L672,NSW,Inner Regional Australia,Capital Region,Yass Valley,Sub-arterial Road
L673,SA,Outer Regional Australia,South Australia - South East,Tatiara,Local Road
L674,NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Local Road
L675,NSW,Inner Regional Australia,Capital Region,Snowy Monaro,Local Road
L676,SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,Collector Road
L677,NSW,Outer Regional Australia,Riverina,Snowy Valleys,Sub-arterial Road
L678,NSW,Outer Regional Australia,Riverina,Narrandera,National or State Highway
L679,SA,Major Cities of Australia,Adelaide - West,West Torrens,Arterial Road
L680,QLD,Very Remote Australia,Queensland - Outback,Etheridge,Sub-arterial Road
L681,NSW,Major Cities of Australia,Sydney - South West,Liverpool,National or State Highway
L682,NSW,Outer Regional Australia,Central West,Bland,National or State Highway
L683,NSW,Major Cities of Australia,Sydney - Inner South West,Georges River,Local Road
L684,QLD,Major Cities of Australia,Brisbane - West,Brisbane,Sub-arterial Road
L685,NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Sub-arterial Road
L686,QLD,Very Remote Australia,Queensland - Outback,Etheridge,Collector Road
L687,NSW,Outer Regional Australia,Central West,Forbes,Local Road
L688,SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,Sub-arterial Road
L689,NSW,Outer Regional Australia,Central West,Oberon,Arterial Road
L690,QLD,Outer Regional Australia,Darling Downs - Maranoa,Maranoa,National or State Highway
